Name,DOB,SSN,Zip,Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss
Dahlia Kleinhaus,7/16/1980,757-27-0501,42699,Private,7th-8th,4,Divorced,Tech-support,Unmarried,White,Female,38,Columbia,<=50K,43,0,0
Gabrielle Billany,4/3/1989,891-20-0294,2290,,Some-college,10,Never-married,,Own-child,White,Female,15,United-States,<=50K,34,0,0
Andrea Davidovitch,7/16/1976,307-31-3532,74970,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,47,0,0
Seana Ferrone,1/29/1981,789-31-1052,8726,Private,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,40,United-States,<=50K,42,0,0
Horten Fitzgerald,9/13/1972,418-77-4269,5072,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,35,United-States,<=50K,51,0,0
Baldwin Gilbeart,3/1/1992,383-22-7099,1214,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,<=50K,31,5013,0
Adey Kenshole,4/9/2011,888-50-3032,16250,Local-gov,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,12,United-States,<=50K,12,0,0
Ruddie Grinaugh,1/13/1983,437-34-2518,24055,,10th,6,Married-civ-spouse,,Husband,White,Male,50,United-States,>50K,40,9386,0
Matty Kaser,3/20/2008,858-86-9211,18417,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,15,0,0
Jeannine Igounet,4/22/1997,747-53-0601,87364,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,26,0,0
Griswold Stirgess,3/5/2009,237-36-3597,73353,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,14,0,0
Lucilia Duggon,2/27/1951,424-14-4895,47976,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,36,United-States,<=50K,72,0,0
Liza Dunkerton,4/15/2006,148-71-3908,97989,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,78,United-States,<=50K,17,0,0
Carmela Feron,5/2/1969,816-96-8277,7153,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K,54,0,0
Auberon Hawkridge,2/23/1960,540-94-1265,68873,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,63,0,0
Daron Symes,2/5/1983,335-41-0008,36096,Local-gov,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,40,0,0
Gasparo Crimpe,5/11/1952,853-75-9206,13820,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,71,0,0
Goldia Preshous,2/19/1965,224-36-9669,22157,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,58,0,0
Bryce Laver,12/17/1987,368-12-7577,2226,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,50,United-States,<=50K,36,0,0
Michaelina Hanlin,7/8/1963,156-05-2901,84969,Private,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,60,0,0
Emmery Dingivan,5/13/1994,190-59-7211,13962,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,29,0,0
Bear Iskow,6/9/1960,456-46-6564,1304,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,63,0,0
Mellisent Rousel,5/4/1997,760-81-0494,55099,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,50,Mexico,<=50K,26,0,0
Lisha Monkton,1/29/1956,806-76-3645,75109,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,8,United-States,<=50K,67,0,0
Trina Cowins,5/4/1996,751-09-6516,51904,Local-gov,9th,5,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,27,0,0
Jody Niessen,5/20/1970,654-89-2870,60905,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,12,Puerto-Rico,<=50K,53,0,0
Ewart Dowyer,5/24/1977,858-64-5734,78128,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,26,United-States,<=50K,46,0,0
Dianna Escalera,10/29/1955,257-50-4596,79209,Private,Some-college,10,Separated,Exec-managerial,Not-in-family,White,Male,60,United-States,>50K,68,0,0
Rhetta Pumfrett,10/9/1990,325-98-0264,46805,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,40,United-States,<=50K,33,0,0
Cob Domerq,3/22/1977,863-45-5051,54073,Private,10th,6,Never-married,Transport-moving,Unmarried,White,Male,30,United-States,<=50K,46,0,0
Gene Surgeon,11/25/1990,632-22-4023,24860,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,33,0,0
Vevay Sibthorpe,11/3/1952,225-99-9927,71558,Self-emp-not-inc,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,25,United-States,>50K,71,0,0
Clevie Binny,7/10/1951,734-17-3354,87704,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,>50K,72,7298,0
Harlen Fishbourn,1/19/1982,227-51-5181,16316,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,41,0,0
Bob Prott,10/20/1962,255-52-2690,56722,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,58,United-States,>50K,61,6418,0
Krystle Stockney,11/12/1958,606-13-4583,20802,Private,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,65,0,0
Otha Allred,4/22/1995,712-73-9661,81693,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,28,0,0
Britteny Latan,8/26/1999,583-53-9861,39339,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,24,0,0
Dominique Vassie,9/6/1956,627-73-0485,44350,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,32,United-States,<=50K,67,0,0
Baron Fossitt,3/29/1980,594-21-2539,93884,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,43,10605,0
Kat Verdon,6/8/1996,317-26-8298,57340,Self-emp-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,27,0,0
Reagan Marples,1/25/1996,322-84-0074,96893,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K,27,0,0
Idaline Snodin,8/20/1955,189-55-8894,17739,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,France,>50K,68,0,0
Debora Delacour,6/16/1952,857-17-7961,10508,Private,Some-college,10,Divorced,Other-service,Own-child,White,Female,40,United-States,<=50K,71,0,0
Yettie Gillicuddy,10/24/1954,778-17-1047,48859,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,United-States,<=50K,69,0,0
Bobette Shovlar,11/30/1979,830-10-8126,7148,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,44,99999,0
Ken Badham,8/1/1968,522-85-1306,74512,Private,10th,6,Married-civ-spouse,Other-service,Husband,Black,Male,40,United-States,<=50K,55,2580,0
Loralyn Barneville,6/12/2008,621-92-6059,16276,Private,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K,15,0,0
Ryan De Haven,3/18/1959,579-89-7658,48066,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K,64,0,0
Franky Hallward,6/25/1968,797-56-5332,13142,State-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Male,50,United-States,>50K,55,0,0
Emlen De Vere,1/23/1999,214-11-1570,1620,Federal-gov,Some-college,10,Widowed,Tech-support,Not-in-family,White,Female,16,United-States,<=50K,24,0,0
Banky Adriaens,5/29/2003,823-08-8774,30261,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,20,0,0
Ginnie Borsi,5/14/1963,528-63-6027,82384,Private,HS-grad,9,Separated,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,60,0,0
Helyn Insworth,10/4/1973,726-12-8678,92569,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,<=50K,50,0,0
Eudora Bowgen,1/27/1959,688-21-8293,83850,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,64,0,0
Di Seaking,11/18/1991,309-81-3912,81285,Private,Bachelors,13,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,70,United-States,>50K,32,99999,0
Dari McGroarty,9/26/2003,249-05-6054,14599,Private,5th-6th,3,Married-spouse-absent,Other-service,Unmarried,Black,Female,30,Haiti,<=50K,20,0,0
Darwin Juanes,8/5/1989,827-23-4034,5458,Private,Assoc-acdm,12,Separated,Exec-managerial,Unmarried,White,Female,50,United-States,>50K,34,25236,0
Reba Quarmby,12/19/2010,824-11-6031,90248,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,40,United-States,<=50K,13,0,1974
Jarrett Chsteney,2/19/1972,581-16-5616,27508,,Bachelors,13,Married-civ-spouse,,Wife,White,Female,6,United-States,>50K,51,0,0
Rorie Tribble,10/16/1974,607-74-3267,8628,State-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,>50K,49,0,0
Elsworth Marjoribanks,4/30/2000,162-25-2003,99757,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,23,0,0
Sherrie Dungate,9/7/1969,341-74-3123,67165,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,48,United-States,<=50K,54,0,0
Darsey Riddich,3/13/1959,486-89-6982,84034,Self-emp-inc,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,50,United-States,<=50K,64,0,0
Atlanta Lys,9/11/1973,239-65-9172,42309,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,50,0,1573
Vasili Endle,12/20/1996,381-38-6389,91955,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Male,48,United-States,<=50K,27,2597,0
Irina Loines,11/22/1983,701-87-2295,7140,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,40,7688,0
Bing Haylor,4/7/2011,837-75-4660,47094,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,40,Trinadad&Tobago,<=50K,12,0,2339
Lina Allen,7/13/1958,681-42-7807,76571,,Some-college,10,Never-married,,Not-in-family,Black,Female,35,United-States,<=50K,65,0,0
Rafaelia Penhaligon,11/12/1985,104-57-7864,65844,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,38,0,0
Adrianne Bowgen,3/30/1976,276-49-0104,65731,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K,47,0,0
Dyna Aizikovich,6/21/1960,826-95-6958,7892,Private,Some-college,10,Never-married,Transport-moving,Unmarried,Black,Female,40,United-States,<=50K,63,0,0
Dulci Pulteneye,11/17/1989,787-37-2784,63981,State-gov,HS-grad,9,Never-married,Other-service,Other-relative,Other,Male,40,United-States,<=50K,34,0,0
Lorette Steers,7/14/1964,183-42-9297,24159,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,59,0,0
Abra Martinie,10/1/1975,624-88-1492,50463,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,20,United-States,<=50K,48,0,0
Judith Strathe,7/21/1982,177-55-2531,55426,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,52,United-States,>50K,41,0,0
Wylie Varlow,3/26/1975,137-68-9463,76961,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K,48,0,1902
Anneliese Woollacott,11/20/1990,789-23-0612,21323,State-gov,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,33,7688,0
Stella Freegard,9/28/2003,241-25-5343,4669,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,40,United-States,<=50K,20,0,0
Evangelia Songhurst,8/30/2011,165-04-6308,39420,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,12,0,0
Derril Sextone,8/3/1957,595-80-3324,72399,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,66,0,1902
Gerardo Taylo,8/30/1978,399-32-5427,75211,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,44,United-States,>50K,45,8614,0
Rosmunda Joice,3/17/1988,503-63-5486,11712,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,<=50K,35,0,0
Alene Burwin,2/8/1969,693-35-7128,45020,Private,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,45,United-States,>50K,54,0,2444
Erroll Penhaligon,6/12/1956,384-48-9301,68810,Local-gov,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Male,20,United-States,<=50K,67,0,0
Devonna Mourton,4/11/1958,712-53-0490,56184,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,65,0,2001
Dayle Baxstair,3/26/1983,661-30-6978,73355,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,43,United-States,<=50K,40,3325,0
Herman Ambrogelli,6/13/2012,815-88-9354,41637,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,25,United-States,>50K,11,0,0
Zilvia Misken,10/13/2004,238-76-6460,28776,Private,7th-8th,4,Never-married,Other-service,Own-child,White,Female,7,United-States,<=50K,19,0,0
Nicolea Canizares,7/24/1979,762-65-5914,22750,State-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,44,0,1902
Stillmann Banford,3/9/1951,401-36-0880,88353,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,45,China,>50K,72,0,0
Lotte Hucks,8/5/1967,652-94-8030,5880,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,56,0,0
Amie Orford,12/22/1989,333-19-6139,66389,Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,21,United-States,<=50K,34,0,0
Farr Lippiatt,10/25/1982,788-91-5355,87393,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Male,60,United-States,<=50K,41,0,0
Peggi Armitage,1/25/1972,472-79-8386,77016,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K,51,0,0
Candie Scryne,11/14/1958,405-04-4320,78106,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,65,0,0
Carleton Brownett,3/19/1961,210-28-2229,94805,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,62,0,0
Debi Staddon,9/7/1959,771-74-5437,72570,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,64,0,0
Parnell Haslum,1/6/1980,438-24-5057,21184,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,43,0,0
Allina Pavy,9/18/1971,763-95-6991,41950,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,52,0,0
Melitta Eades,6/7/1996,234-61-8114,76463,Private,HS-grad,9,Never-married,Sales,Own-child,Black,Male,24,United-States,<=50K,27,0,0
Sollie McKeney,11/9/2008,727-46-7119,92323,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,40,United-States,<=50K,15,0,0
Emmott Jarrell,12/15/2010,572-81-3793,75829,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,<=50K,13,0,0
Nita Stephens,6/10/2000,889-78-0657,55764,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,23,0,0
Egor Janos,4/11/1960,585-44-6504,45183,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,63,0,0
Irma Methingam,1/31/2001,768-97-6496,59601,Private,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,22,0,0
Marjie Hance,5/28/1991,336-85-4942,88373,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,32,0,0
Vanya Ramplee,3/31/2000,199-29-0194,46438,Private,HS-grad,9,Separated,Sales,Unmarried,White,Female,10,United-States,<=50K,23,0,0
Edyth Imlacke,2/7/2005,677-54-7753,51905,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,18,0,0
Ermina Davidowsky,5/2/1953,715-37-0180,87098,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Female,55,United-States,<=50K,70,0,0
Gerhardine Yeaman,11/29/1963,538-05-9126,77247,Private,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K,60,0,0
Broddie Hursthouse,12/11/1957,616-13-2344,10220,Federal-gov,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Female,40,United-States,<=50K,66,0,0
Myrna Bernlin,2/18/1970,619-72-0727,33603,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,20,Mexico,<=50K,53,0,0
Hesther Vickery,2/3/1979,239-74-1632,84371,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,44,0,0
Kareem Argo,11/8/1962,172-94-9125,5954,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K,61,0,0
Gertrud Ebertz,1/7/1957,519-59-6220,98568,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,60,United-States,<=50K,66,0,0
Jolee McMurthy,6/29/1994,555-42-3945,4208,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,29,0,0
Graham McGahy,2/26/2012,524-59-8209,29213,Private,11th,7,Separated,Other-service,Unmarried,White,Female,20,United-States,<=50K,11,0,0
Stern Wyre,5/7/1970,488-95-4733,18157,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,53,0,0
Gibbie Grimbaldeston,5/10/2007,551-83-9925,19016,Private,10th,6,Never-married,Other-service,Own-child,White,Male,15,United-States,<=50K,16,0,0
Rodney Kornel,6/1/1984,844-04-2368,86128,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K,39,0,0
Evaleen Zimmermeister,11/17/2009,654-24-0494,29749,Self-emp-not-inc,Assoc-acdm,12,Separated,Sales,Not-in-family,Black,Male,30,United-States,<=50K,14,0,0
Holly Stoyell,6/21/1973,289-30-4753,54291,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,50,0,0
Meredith Zoren,9/22/2006,355-29-5197,51792,Private,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,40,United-States,>50K,17,0,0
Rochette Roome,9/29/1962,541-53-1702,59443,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,61,0,0
Zahara Whitham,9/27/1993,477-44-3829,91792,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,45,United-States,<=50K,30,3464,0
Scott Riatt,7/12/1997,501-98-5897,89639,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K,26,0,0
Tybalt Dries,3/29/1986,383-68-4143,2745,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,37,0,0
Devina Soal,6/18/1976,519-39-5543,21553,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,47,0,0
Maria Skelcher,1/4/1996,706-26-9107,6526,Private,7th-8th,4,Never-married,Handlers-cleaners,Own-child,White,Male,19,United-States,<=50K,27,0,0
Dana Hitzmann,12/8/1999,367-40-8074,46620,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,20,United-States,<=50K,24,0,0
Erroll Reiling,7/14/1986,337-47-1632,81585,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,60,United-States,<=50K,37,0,0
Rowney Coryndon,4/10/1976,472-72-4091,3881,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,16,United-States,<=50K,47,0,0
Jennica Schwandt,7/9/1962,261-71-0521,52594,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,20,United-States,<=50K,61,0,0
Shell Johnke,1/9/1970,353-19-5439,5097,Private,Masters,14,Never-married,Adm-clerical,Own-child,White,Male,45,United-States,<=50K,53,0,0
Gabie Dawtry,4/28/1960,118-43-8075,40351,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,30,United-States,<=50K,63,0,0
Timoteo Gandrich,5/27/1984,214-44-3832,8740,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,>50K,39,14344,0
Dori Shaylor,9/5/1951,743-77-3118,6187,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K,72,0,0
Sven Andrichuk,11/29/1967,107-69-8113,48493,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,80,Philippines,>50K,56,0,0
Merci Crayke,11/12/1994,250-25-8646,43458,,Masters,14,Married-civ-spouse,,Husband,White,Male,60,United-States,>50K,29,0,0
Simonette Mosdill,9/1/1970,235-42-9734,69885,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,53,0,0
Bette-ann Condy,8/5/1982,615-06-0651,23898,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,41,0,0
Nathaniel Breeder,12/16/1952,421-77-3777,28382,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,71,0,0
Jabez Cready,8/26/2006,225-21-9164,6191,Private,11th,7,Divorced,Craft-repair,Not-in-family,Black,Male,40,United-States,<=50K,17,0,0
Fabian Taysbil,10/30/1987,464-14-5466,47605,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K,36,0,1977
Aggie Silburn,2/18/1998,516-78-9099,10806,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,25,0,0
Alyosha Battersby,5/29/1970,822-24-9075,45005,,Some-college,10,Married-civ-spouse,,Husband,White,Male,40,United-States,>50K,53,7298,0
Virgie Klehyn,12/3/1977,883-16-5631,20840,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,46,0,0
Thatcher Humblestone,8/6/1970,124-31-1618,84463,Private,Some-college,10,Separated,Handlers-cleaners,Not-in-family,Black,Male,35,United-States,<=50K,53,0,0
Yuri Labeuil,7/21/1953,442-82-1158,60258,Private,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,70,0,0
Antonio Castellani,9/13/2009,598-41-9276,80714,State-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,50,United-States,<=50K,14,0,0
Albie MacKartan,10/1/1995,147-91-6352,41098,Private,10th,6,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K,28,0,0
Jerrold Whiteside,4/24/1969,838-98-8479,11690,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,60,United-States,<=50K,54,0,0
Kinnie Scrowton,1/19/1961,418-39-6222,91990,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,38,United-States,<=50K,62,0,0
Kathye Strut,3/12/1974,832-51-8687,61951,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,49,0,1887
Rosita Setchell,8/10/1978,491-24-5534,95203,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,45,0,2392
Nanny Gierck,4/4/1955,751-72-8823,19010,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,68,0,0
Benjy Caves,6/21/1987,638-81-4707,37869,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,36,0,1485
Louise Lawlan,6/6/2009,613-52-2692,53356,Local-gov,11th,7,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,14,0,0
Tades Tweedie,6/20/1992,836-58-6702,21629,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Female,50,United-States,<=50K,31,0,0
Dora Rouby,10/12/1987,272-33-0551,46652,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,36,0,0
Susanne Symmons,1/7/1987,524-30-3282,20023,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K,36,0,0
Leanora Gindghill,4/25/1982,672-70-1257,23415,Local-gov,Assoc-voc,11,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,40,United-States,<=50K,41,0,0
Noreen Rouchy,5/8/1952,749-01-2521,1155,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,17,United-States,<=50K,71,0,0
Vic Horsewood,6/9/1961,526-20-3824,34995,Private,10th,6,Never-married,Other-service,Own-child,White,Female,10,United-States,<=50K,62,0,0
Chrissy Stonuary,11/17/1988,566-99-5331,97494,,11th,7,Widowed,,Other-relative,White,Female,16,United-States,<=50K,35,0,0
Veronique Rowlson,2/12/1965,699-54-3385,79641,Private,Assoc-acdm,12,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,58,0,0
Gerianna Blaver,3/19/1992,188-48-5778,82174,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,31,0,0
Madeline Exer,8/8/1982,302-31-5664,71324,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,35,United-States,<=50K,41,0,0
Kassi Ensor,2/13/1987,412-47-5729,69450,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,36,0,0
Michaela Frogley,6/22/1952,684-14-3402,77081,Private,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,24,United-States,<=50K,71,0,0
Leslie Shambrooke,1/2/1980,845-47-0997,80237,Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,20,United-States,<=50K,43,0,0
Dal Franciotti,4/25/1955,440-89-9380,59459,Private,10th,6,Widowed,Sales,Not-in-family,White,Female,40,United-States,<=50K,68,0,0
Yardley McKimmie,1/31/1996,638-73-7547,79784,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,27,0,0
